"Business Category","Sub Category","Company Name","Address","Contact Number 1","Contact Number 2","Area","City","Pincode","Year Establish","Source Link"
"Mob						","Mobile Phone Repair & Services-Samsung						,","Pooja Mobiles","Door No 7-1-77/1, Elephant House, Ameerpet, Hyderabad - 500016, Ameerpet X Roads","+(91)-40-33062076","","Ameerpet","Hyderabad","500016","2004","Monday -Sunday ","http://www.justdial.com/Hyderabad/Pooja-Mobiles-\&lt\;near\&gt\;-Ameerpet-X-Roads-Ameerpet/040P8409542_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phone Dea						","Mobile Phone Dealers-Sony						,","Ravis Jonty Communications","A S Rao Nagar","+(91)-40-39515787","","A S Rao Nagar","Hyderabad","500062","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Ravis-Jonty-Communications-\&lt\;near\&gt\;-Near-Reliance-Foot-Print-A-S-Rao-Nagar/040PXX40-XX40-140224144520-X4P1_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","R K Mobile Service","Green Lands","+(91)-40-39516672","","Green Lands","Hyderabad","500016","2000","Monday -Sunday ","http://www.justdial.com/Hyderabad/R-K-Mobile-Service-\&lt\;near\&gt\;-Everest-Block-Aditya-Enclave-Green-Lands/040PXX40-XX40-140327182250-C6B7_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Hkgn Mobiles Software & Hardware Solutions","House No 5-8-524, Main Road, Abids, Hyderabad - 500001, Beside Andhra Bank, Jagadish Market","+(91)-40-33926618","","Abids","Hyderabad","500001","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Hkgn-Mobiles-Software---Hardware-Solutions-\&lt\;near\&gt\;-Beside-Andhra-Bank--Jagadish-Market-Abids/040PXX40-XX40-121212083925-B3T9_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobi						","Mobile Phone Repair & Services-iPhone						,","Access Cares","Flat No 209 & 501, Mn Reddy Complex, Dilsukh Nagar, Hyderabad - 500060, Beside Lane To Rajadhani The...","+(91)-40-39511679","","Dilsukh Nagar","Hyderabad","500060","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Access-Cares-\&lt\;near\&gt\;-Beside-Lane-To-Rajadhani-Theater-Dilsukh-Nagar/040PXX40-XX40-131025180631-E8L1_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Apple Mobile","Door No 13-1-64/4/12, Main Road, Kondapur, Hyderabad - 500081, Opposite Croma Store","+(91)-40-33015774","","Kondapur","Hyderabad","500081","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Apple-Mobile-\&lt\;near\&gt\;-Opposite-Croma-Store-Kondapur/040PXX40-XX40-130429141607-N4H7_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Uinic Mobiles & Expert Services","Habsiguda","+(91)-40-33924965","","Habsiguda","Hyderabad","500007","2011","Monday -Sunday ","http://www.justdial.com/Hyderabad/Uinic-Mobiles---Expert-Services-\&lt\;near\&gt\;-Opposite-Bawarchi-Hotel-Habsiguda/040PXX40-XX40-130322164518-A6N3_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobi						","Mobile Phone Repair & Services-Lenovo						,","Mantra Mobiles","Shop No 8-2-277/56, Road No 3, Banjara Hills, Hyderabad - 500034, UBI Colony","+(91)-40-39617540","","Banjara Hills","Hyderabad","500034","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Mantra-Mobiles-\&lt\;near\&gt\;-UBI-Colony-Banjara-Hills/040PXX40-XX40-121011125217-Y1Q9_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Accessory Dealers						,","K Tech","Chirag Ali Lane","+(91)-40-33063068","","Chirag Ali Lane","Hyderabad","500001","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/K-Tech-\&lt\;near\&gt\;-Adjacent-Lane-to-Sri-Sai-Ganesh-Tiffin-Centre-Chirag-Ali-Lane/040PXX40-XX40-160102125108-K1Z1_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phone Re						","Computer Repair & Services						,","SVR Solutions For Mobiles & Laptops","Saidabad","+(91)-40-39615515","","Saidabad","Hyderabad","500059","2004","Monday -Sunday ","http://www.justdial.com/Hyderabad/SVR-Solutions-For-Mobiles---Laptops-\&lt\;near\&gt\;-Opposite-State-Bank-Of-Hyderabad-Saidabad/040PXX40-XX40-120523123900-V9Q8_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Sri Sai Mobiles Premium Services","Plot No 14-80, P&T Colony, Dilsukhnagar, Hyderabad - 500060, Near Andhra Bank ATM & P&T Colony X Road","+(91)-40-33926461","","Dilsukhnagar","Hyderabad","500060","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sri-Sai-Mobiles-Premium-Services-\&lt\;near\&gt\;-Near-Andhra-Bank-ATM---P-T-Colony-X-Road-Dilsukhnagar/040PXX40-XX40-150601164712-Y5Y1_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mob						","Mobile Phone Repair & Services-Samsung						,","Key Technologiies","Shop No 28,29, One 11 Mobile Center, Abids, Hyderabad - 500001, Opposite Sai Ganesh Tiffin Centre","+(91)-40-33088146","","Abids","Hyderabad","500001","2001","Monday -Sunday ","http://www.justdial.com/Hyderabad/Key-Technologiies-\&lt\;near\&gt\;-Opposite-Sai-Ganesh-Tiffin-Centre-Abids/040PXX40-XX40-111224162001-J1E8_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobi						","Mobile Phone Repair & Services-Lenovo						,","Harsha Mobiles","Door No 2-56/33/16/8, Ayyapa Society,Sai Nagar, Madhapur, Hyderabad - 500081, Near Durga Mata Temple","+(91)-40-33060157","","'dtpg');
											openDiv('hui')","","500081","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Harsha-Mobiles-\&lt\;near\&gt\;-Near-Durga-Mata-Temple-Madhapur/040PXX40-XX40-150317124936-Y9F9_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Mobi Care","Shop No 1, Dilsukh Nagar, Hyderabad - 500060, Beside Dolphin Children Hospital, Kamala Nagar, Chaita...","+(91)-40-33700707","","Dilsukh Nagar","Hyderabad","500060","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Mobi-Care-\&lt\;near\&gt\;-Beside-Dolphin-Children-Hospital--Kamala-Nagar--Chaitanyapuri-Dilsukh-Nagar/040PXX40-XX40-150227113545-M5F8_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobi						","Mobile Phone Repair & Services-iPhone						,","Stop & Shop","Somajiguda","+(91)-40-33063110","","Somajiguda","Hyderabad","500082","1996","Monday -Sunday ","http://www.justdial.com/Hyderabad/Stop---Shop-\&lt\;near\&gt\;-Behind-Bakers-Inn-Opposite-To-Kalaniketan-Somajiguda/040PG000638_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mob						","Mobile Phone Repair & Services-Samsung						,","I Phone Service Centre","2-49-1, Madhapur Main Road, Madhapur, Hyderabad - 500081, Opposite to Vikram Hospital","+(91)-40-40055115","","'dtpg');
											openDiv('hui')","","500081","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/I-Phone-Service-Centre-\&lt\;near\&gt\;-Opposite-to-Vikram-Hospital-Madhapur/040PXX40-XX40-151119203815-S5H3_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"Mobile Phon						","Mobile Phone Repair & Services						,","Totoodo Smartphone Workshop","House No 16/1, LIG Flats, 3rd Phase KPHB Colony, Kukatpally, Hyderabad - 500072, Near MIC Bus Stand","+(91)-40-33928051","","'dtpg');
											openDiv('hui')","","500072","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Totoodo-Smartphone-Workshop-\&lt\;near\&gt\;-Near-MIC-Bus-Stand-Kukatpally/040PXX40-XX40-150717093435-R8B2_BZDET?xid=SHlkZXJhYmFkIFNhbXN1bmcgTW9iaWxlIFBob25lIFJlcGFpciBTZXJ2aWNlcw=="
"","DTH TV Broadcast Service Providers-Tata Sky						","Planet Dish","House No 3-3-507, R P Road, Secunderabad, Hyderabad - 500003, Near Bata Showroom","+(91)-40-33926109","","Secunderabad","Hyderabad","500003","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Planet-Dish-\&lt\;near\&gt\;-Near-Bata-Showroom-Secunderabad/040P1227760991R3D3M3_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","DTH Shopee","House No 2/135, 4th Street, Safilguda-Malkajgiri, Hyderabad - 500047, Near Mini Tank Band","+(91)-40-33014920","","Safilguda-Malkajgiri","Hyderabad","500047","2009","Monday -Sunday ","http://www.justdial.com/Hyderabad/DTH-Shopee-\&lt\;near\&gt\;-Near-Mini-Tank-Band-Safilguda-Malkajgiri/040PXX40-XX40-130318175830-M1N6_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","Unnathi Dth Services","House No 28-21,Flat No 104,Sai Enclave, Subash Nagar RK Puram, Old Bowenpally-bowenpally, Hyderabad ...","+(91)-40-33920717","","Old Bowenpally-bowenpally","Hyderabad","500011","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Unnathi-Dth-Services-\&lt\;near\&gt\;-Old-Bowenpally-bowenpally/040PXX40-XX40-141008154645-X8L8_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Providers-Airtel Digital 						","DTH TV Broadcast Service Providers-Tata Sky						,","Kusal Technologies","House No 8-3-219/15, Srinivasa Nagar West, Ameerpet, Hyderabad - 500016, Near Saradhi Studios","+(91)-40-33706203","","'dtpg');
											openDiv('hui')","","500016","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Kusal-Technologies-\&lt\;near\&gt\;-Near-Saradhi-Studios-Ameerpet/040PXX40-XX40-151224185542-H4M3_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV 						","DTH TV Broadcast Service Providers						,","Sri Pridhvi Innovative Solutions","House No 7-73/1,Flat No 301,Sri Krupa Nilayan, Habsiguda, Hyderabad - 500007, Near Bharat Petroleum","+(91)-40-39516382","","Habsiguda","Hyderabad","500007","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sri-Pridhvi-Innovative-Solutions-\&lt\;near\&gt\;-Near-Bharat-Petroleum-Habsiguda/040PXX40-XX40-140318140515-J3N9_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Reinstallation Services-Tata S						","DTH TV Broadcast Service Providers-Tata Sky						,","Tripura Enterprises","Shop Number 195, Motilal Nehru Nagar, Secunderabad, Hyderabad - 500003, Behind DBR Mills","+(91)-40-33120469","","'dtpg');
											openDiv('hui')","","500003","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Tripura-Enterprises-\&lt\;near\&gt\;-Behind-DBR-Mills-Secunderabad/040PXX40-XX40-150521102542-T2X5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","Kundan Electronics","Himayat Nagar","+(91)-40-33084316","","Himayat Nagar","Hyderabad","500029","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Kundan-Electronics-\&lt\;near\&gt\;-Opposite-Cafe-Coffee-Day-Himayat-Nagar/040PXX40-XX40-110523174608-A6K9_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"Internet Servic						","Internet Service Providers						,","K S Communications","Plot No 28, G 1, Bhagya Nagar Colony, Kukatpally, Hyderabad - 500072, Near South India Shopping Mall","+(91)-40-39518702","","Kukatpally","Hyderabad","500072","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/K-S-Communications-\&lt\;near\&gt\;-Near-South-India-Shopping-Mall-Kukatpally/040PXX40-XX40-140620110822-P2X5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV 						","DTH TV Broadcast Service Providers						,","Suryavamshi Communications","Shop No C-11-14/443, L B Nagar, Hyderabad - 500074, Opposite Siri","+(91)-40-33082858","","L B Nagar","Hyderabad","500074","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/Suryavamshi-Communications-\&lt\;near\&gt\;-Opposite-Siri-L-B-Nagar/040PXX40-XX40-110214163252-C3K5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"Inter						","Broadband Internet Service Providers						,","Symbiotic Solutions","Flat No 20, Badrika Chambers, Road No 5, Jubilee Hills, Hyderabad - 500033, Beside Bajaj Showroom,Op...","+(91)-40-33019149","","Jubilee Hills","Hyderabad","500033","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Symbiotic-Solutions-\&lt\;near\&gt\;-Beside-Bajaj-Showroom-Opposite-Venkatagiri-Bus-Stop-Jubilee-Hills/040PXX40-XX40-130823121229-E4C8_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","DTH Shopee","House No 2/135, 4th Street, Safilguda-Malkajgiri, Hyderabad - 500047, Near Mini Tank Band","+(91)-40-33014920","","Safilguda-Malkajgiri","Hyderabad","500047","2009","Monday -Sunday ","http://www.justdial.com/Hyderabad/DTH-Shopee-\&lt\;near\&gt\;-Near-Mini-Tank-Band-Safilguda-Malkajgiri/040PXX40-XX40-130318175830-M1N6_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","Unnathi Dth Services","House No 28-21,Flat No 104,Sai Enclave, Subash Nagar RK Puram, Old Bowenpally-bowenpally, Hyderabad ...","+(91)-40-33920717","","Old Bowenpally-bowenpally","Hyderabad","500011","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Unnathi-Dth-Services-\&lt\;near\&gt\;-Old-Bowenpally-bowenpally/040PXX40-XX40-141008154645-X8L8_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Providers-Airtel Digital 						","DTH TV Broadcast Service Providers-Tata Sky						,","Kusal Technologies","House No 8-3-219/15, Srinivasa Nagar West, Ameerpet, Hyderabad - 500016, Near Saradhi Studios","+(91)-40-33706203","","'dtpg');
											openDiv('hui')","","500016","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Kusal-Technologies-\&lt\;near\&gt\;-Near-Saradhi-Studios-Ameerpet/040PXX40-XX40-151224185542-H4M3_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Reinstallation Services-Tata S						","DTH TV Broadcast Service Providers-Tata Sky						,","Tripura Enterprises","Shop Number 195, Motilal Nehru Nagar, Secunderabad, Hyderabad - 500003, Behind DBR Mills","+(91)-40-33120469","","'dtpg');
											openDiv('hui')","","500003","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Tripura-Enterprises-\&lt\;near\&gt\;-Behind-DBR-Mills-Secunderabad/040PXX40-XX40-150521102542-T2X5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV 						","DTH TV Broadcast Service Providers						,","Sri Pridhvi Innovative Solutions","House No 7-73/1,Flat No 301,Sri Krupa Nilayan, Habsiguda, Hyderabad - 500007, Near Bharat Petroleum","+(91)-40-39516382","","Habsiguda","Hyderabad","500007","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sri-Pridhvi-Innovative-Solutions-\&lt\;near\&gt\;-Near-Bharat-Petroleum-Habsiguda/040PXX40-XX40-140318140515-J3N9_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV Broadcast Service Provide						","DTH TV Broadcast Service Providers-Tata Sky						,","Kundan Electronics","Himayat Nagar","+(91)-40-33084316","","Himayat Nagar","Hyderabad","500029","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Kundan-Electronics-\&lt\;near\&gt\;-Opposite-Cafe-Coffee-Day-Himayat-Nagar/040PXX40-XX40-110523174608-A6K9_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"DTH TV 						","DTH TV Broadcast Service Providers						,","Suryavamshi Communications","Shop No C-11-14/443, L B Nagar, Hyderabad - 500074, Opposite Siri","+(91)-40-33082858","","L B Nagar","Hyderabad","500074","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/Suryavamshi-Communications-\&lt\;near\&gt\;-Opposite-Siri-L-B-Nagar/040PXX40-XX40-110214163252-C3K5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"Internet Servic						","Internet Service Providers						,","K S Communications","Plot No 28, G 1, Bhagya Nagar Colony, Kukatpally, Hyderabad - 500072, Near South India Shopping Mall","+(91)-40-39518702","","Kukatpally","Hyderabad","500072","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/K-S-Communications-\&lt\;near\&gt\;-Near-South-India-Shopping-Mall-Kukatpally/040PXX40-XX40-140620110822-P2X5_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"","DTH TV Broadcast Service Distributors-Tat...						","Ayyappa Agencies","House No 1-7-1074, Flat No 209, Barkatpura, Hyderabad - 500027, Near Bus Depot","+(91)-40-39519559","","Barkatpura","Hyderabad","500027","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Ayyappa-Agencies-\&lt\;near\&gt\;-Near-Bus-Depot-Barkatpura/040PXX40-XX40-140802163729-S1A8_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"Inter						","Broadband Internet Service Providers						,","Symbiotic Solutions","Flat No 20, Badrika Chambers, Road No 5, Jubilee Hills, Hyderabad - 500033, Beside Bajaj Showroom,Op...","+(91)-40-33019149","","Jubilee Hills","Hyderabad","500033","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Symbiotic-Solutions-\&lt\;near\&gt\;-Beside-Bajaj-Showroom-Opposite-Venkatagiri-Bus-Stop-Jubilee-Hills/040PXX40-XX40-130823121229-E4C8_BZDET?xid=SHlkZXJhYmFkIFRhdGEgU2t5IERUSCBUViBCcm9hZGNhc3QgU2VydmljZSBQcm92aWRlcnM="
"Hindi Movies						","Cinema Halls						,","Imax Prasad Cinemas","Necklace Road, Hyderabad - 500004, Near Ntr Gardens","+(91)-40-23448888","39895050","Necklace Road","Hyderabad","500004","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Imax-Prasad-Cinemas-\&lt\;near\&gt\;-Near-Ntr-Gardens-Necklace-Road/040PGE01051_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Hindi Movies						","Cinema Halls						,","Asian Cine Square","Warangal Road, Uppal, Hyderabad - 500039, Besides Bharat Petrol Pump, Warangal Road, Shantinagar, Su...","+(91)-40-39895050","27654321","Uppal","Hyderabad","500039","2014","","http://www.justdial.com/Hyderabad/Asian-Cine-Square-\&lt\;near\&gt\;-Besides-Bharat-Petrol-Pump--Warangal-Road--Shantinagar--Survey-No-99-Uppal/040PXX40-XX40-140228122906-M8Q8_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"English Movies						","Hindi Movies						,","PVR Cinemas","5th Floor, Hyderabad Central Mall, Panjagutta, Hyderabad - 500082, Panjagutta X Roads","+(91)-40-33061170","","Panjagutta","Hyderabad","500082","","","http://www.justdial.com/Hyderabad/PVR-Cinemas-\&lt\;near\&gt\;-Panjagutta-X-Roads-Panjagutta/040P3016014_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Hindi Movies						","Cinema Halls						,","Inox Cinema","4th Floor, Gvk One Mall, Road No 1, Banjara Hills, Hyderabad - 500034","+(91)-40-67494949","","Banjara Hills","Hyderabad","500034","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/Inox-Cinema-\&lt\;near\&gt\;-Banjara-Hills/040PXX40-XX40-000303959952-Q5U3_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Cinema Halls						","Multiplex Cinema Halls						,","Cine Planet Multiplex","Satyam Enclave, Survey No 105, Medchal Road, Kompally, Rangareddy - 500014, Runway 9","+(91)-40-39895050","","Kompally","Hyderabad","500014","2010","","http://www.justdial.com/Hyderabad/Cine-Planet-Multiplex-\&lt\;near\&gt\;-Runway-9-Kompally/040P8199914_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Cinema Halls						","Multiplex Cinema Halls						,","Inox Cinema","Maheshwari Parmeshwari Mall, Kachiguda, Hyderabad - 500027","+(91)-8080211111","","Kachiguda","Hyderabad","500027","2012","","http://www.justdial.com/Hyderabad/Inox-Cinema-\&lt\;near\&gt\;-Kachiguda/040PXX40-XX40-121015105554-H5X8_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Multiplex Cinema Halls						","Cinema Halls						,","Asian M Cube","M Cube Mall, Attapur, Hyderabad - 500048, Opposite Pillar No 118","+(91)-40-27654321","39895050","Attapur","Hyderabad","500048","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Asian-M-Cube-\&lt\;near\&gt\;-Opposite-Pillar-No-118-Attapur/040PXX40-XX40-140820142629-F3C7_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Hindi Movies						","Cinema Halls						,","Asian Shiva Ganga Cineplex","Gaddi Annaram, Hyderabad - 500060, Near City Bus Stop, Kalyan Nagar","+(91)-40-39895050","","Gaddi Annaram","Hyderabad","500060","2013","","http://www.justdial.com/Hyderabad/Asian-Shiva-Ganga-Cineplex-\&lt\;near\&gt\;-Near-City-Bus-Stop--Kalyan-Nagar-Gaddi-Annaram/040PXX40-XX40-000995413498-I3R3_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"English Movies						","Hindi Movies						,","PVR Cinemas","R K Complex, Road No 2, Banjara Hills, Hyderabad - 500034, Opposite L V Prasad Eye Institute","+(91)-40-33060607","","Banjara Hills","Hyderabad","500034","","","http://www.justdial.com/Hyderabad/PVR-Cinemas-\&lt\;near\&gt\;-Opposite-L-V-Prasad-Eye-Institute-Banjara-Hills/040P1231922704M8J8A9_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"English Movies						","Hindi Movies						,","PVR Cinemas","Plot No 16, Kukatpally, Hyderabad - 500072, Opposite Malaysian Township, Survey No 1009, Kphb Phase VI","+(91)-40-33706969","","Kukatpally","Hyderabad","500072","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/PVR-Cinemas-\&lt\;near\&gt\;-Opposite-Malaysian-Township--Survey-No-1009--Kphb-Phase-VI-Kukatpally/040PXX40-XX40-140904140856-N7B1_BZDET?xid=SHlkZXJhYmFkIEhpbmRpIE1vdmllcw=="
"Hotels						","Banquet Halls						,","Akhand Homes","Plot Number 21,22,23, Masjid Banda Road, Masjid Banda-kondapur, Hyderabad - 500084, Near HCU","+(91)-40-33928541","","'dtpg');
											openDiv('hui')","","500084","2008","Monday -Check-Out: ","http://www.justdial.com/Hyderabad/Akhand-Homes-\&lt\;near\&gt\;-Near-HCU-Masjid-Banda-kondapur/040PXX40-XX40-140611114435-K3Q1_BZDET?xid=SHlkZXJhYmFkIDEgU3RhciBIb3RlbHM="
"Hotels						","Lodging Services						,","Hotel New White House","Door No 11-6399, Dargah X Roads, Nampally, Hyderabad - 500001, Above Yosufian Bazar","+(91)-40-39516745","","'dtpg');
											openDiv('hui')","","500001","2014","Monday -Check-Out: ","http://www.justdial.com/Hyderabad/Hotel-New-White-House-\&lt\;near\&gt\;-Above-Yosufian-Bazar-Nampally/040PXX40-XX40-140330202421-P1Y3_BZDET?xid=SHlkZXJhYmFkIDEgU3RhciBIb3RlbHM="
"AC Banquet Halls						","Hotels						,","Jasmine Stay Inn","MIG 7 & 8, Shamshbad, Hyderabad - 500252, Behind Rajiv Ghandhi International Airport Police Station","+(91)-40-33085250","","'dtpg');
											openDiv('hui')","","500252","2011","Monday -Check-Out: ","http://www.justdial.com/Hyderabad/Jasmine-Stay-Inn-\&lt\;near\&gt\;-Behind-Rajiv-Ghandhi-International-Airport-Police-Station-Shamshbad/040PXX40-XX40-110712121821-Z2A8_BZDET?xid=SHlkZXJhYmFkIDEgU3RhciBIb3RlbHM="
